group,task,cell,idx,origin,parents,val,parent_val,val_delta,mc_at_disc,prompt_chars,n_predictors
phase_a_qwen,hover,summarize_before_budget_proportional_s0,17,reflect,[2],0.35,0.31666666666666665,0.033333333333333326,5509,3437,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,18,merge,"[2, 9]",0.38,0.37,0.010000000000000009,5814,4387,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,19,reflect,[11],0.4066666666666667,0.41,-0.0033333333333332993,6132,6898,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,20,merge,"[6, 16]",0.41333333333333333,0.41,0.003333333333333355,6437,9225,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,21,reflect,[2],0.3233333333333333,0.31666666666666665,0.006666666666666654,6800,3689,4
phase_a_qwen,hover,summarize_before_immediate_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,summarize_before_immediate_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
phase_a_qwen,hover,summarize_before_immediate_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,summarize_before_immediate_s0,3,merge,"[1, 2]",0.37,0.3466666666666667,0.023333333333333317,923,3775,4
phase_a_qwen,hover,summarize_before_immediate_s0,4,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,1271,4100,4
phase_a_qwen,hover,summarize_before_immediate_s0,5,reflect,[2],0.34,0.31666666666666665,0.023333333333333373,1681,4066,4
phase_a_qwen,hover,summarize_before_immediate_s0,6,merge,"[4, 5]",0.4033333333333333,0.37,0.033333333333333326,1986,5935,4
phase_a_qwen,hover,summarize_before_immediate_s0,7,reflect,[1],0.35333333333333333,0.3466666666666667,0.006666666666666654,2358,3519,4
phase_a_qwen,hover,summarize_before_immediate_s0,8,reflect,[3],0.35,0.37,-0.020000000000000018,2672,6139,4
phase_a_qwen,hover,summarize_before_immediate_s0,9,merge,"[7, 8]",0.3566666666666667,0.35333333333333333,0.003333333333333355,2977,7316,4
phase_a_qwen,hover,summarize_before_immediate_s0,10,reflect,[6],0.3433333333333333,0.4033333333333333,-0.06,3325,7939,4
phase_a_qwen,hover,summarize_before_immediate_s0,11,reflect,[8],0.37,0.35,0.020000000000000018,3801,7753,4
phase_a_qwen,hover,summarize_before_immediate_s0,12,reflect,[7],0.35,0.35333333333333333,-0.003333333333333355,4172,4338,4
phase_a_qwen,hover,summarize_before_immediate_s0,13,merge,"[3, 12]",0.37666666666666665,0.37,0.006666666666666654,4477,4218,4
phase_a_qwen,hover,summarize_before_immediate_s0,14,reflect,[4],0.38,0.37,0.010000000000000009,4813,6559,4
phase_a_qwen,hover,summarize_before_immediate_s0,15,merge,"[7, 10]",0.35333333333333333,0.35333333333333333,0.0,5118,9029,4
phase_a_qwen,hover,summarize_before_immediate_s0,16,reflect,[1],0.38333333333333336,0.3466666666666667,0.03666666666666668,5448,5389,4
phase_a_qwen,hover,summarize_before_immediate_s0,17,merge,"[4, 9]",0.38,0.37,0.010000000000000009,5753,7133,4
phase_a_qwen,hover,summarize_before_immediate_s0,18,reflect,[13],0.35,0.37666666666666665,-0.026666666666666672,6071,6314,4
phase_a_qwen,hover,summarize_before_immediate_s0,19,merge,"[8, 16]",0.4,0.38333333333333336,0.016666666666666663,6376,9186,4
phase_a_qwen,hover,summarize_before_immediate_s0,20,reflect,[13],0.36333333333333334,0.37666666666666665,-0.013333333333333308,6688,6333,4
phase_a_qwen,hover,summarize_before_immediate_s0,21,merge,"[5, 13]",0.37,0.37666666666666665,-0.006666666666666654,6993,6561,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,3,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,972,4100,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,4,reflect,[2],0.3333333333333333,0.31666666666666665,0.016666666666666663,1284,4650,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,5,reflect,[4],0.32666666666666666,0.3333333333333333,-0.006666666666666654,1647,6203,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,6,reflect,[2],0.36666666666666664,0.31666666666666665,0.04999999999999999,1983,3925,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,7,reflect,[3],0.42,0.37,0.04999999999999999,2354,7230,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,8,merge,"[1, 5]",0.38333333333333336,0.3466666666666667,0.03666666666666668,2659,8255,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,9,reflect,[8],0.37666666666666665,0.38333333333333336,-0.00666666666666671,2974,10569,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,10,reflect,[5],0.36,0.32666666666666666,0.033333333333333326,3298,7951,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,11,reflect,[10],0.39,0.36,0.030000000000000027,3604,8333,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,12,merge,"[1, 6]",0.4033333333333333,0.36666666666666664,0.03666666666666668,3909,5977,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,13,reflect,[6],0.36666666666666664,0.36666666666666664,0.0,4263,7044,4
phase_a_qwen,hover,summarize_before_score_plateau_s0,14,reflect,[9],0.38,0.37666666666666665,0.003333333333333355,4626,11639,4
